SMILES,KELAS,C,O,B,N,P,S,F,Cl,Br,Z,@,I,COC,=,[O-],C=C,N+,C=O,:,.,-,+,[],(),#
C(C(C(C(C(C=O)O)O)O)O)O.C(C(C(C(C(=O)CO)O)O)O)O,1,23,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,21,0
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1,28,14,0,0,0,0,0,0,0,5,0,0,0,1,0,6,0,0,0,0,0,0,0,15,0
CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1,28,14,0,0,0,0,0,0,0,5,0,0,0,1,0,6,0,0,0,0,0,0,0,15,0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC3C(C(C(C(O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1,9,19,0,5,0,0,0,0,0,3,0,0,0,5,0,0,5,0,0,0,5,5,0,11,0
COCCOCCOCCOC,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
CCCCOC(=O)C(=C)C#N,1,33,5,0,5,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,11,5
C=CN1CCCCCC1=O,1,42,7,0,7,0,0,0,0,0,14,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0
CO[Si](CCCNCCN)(OC)OC,1,38,14,0,9,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
C=CN1CCCC1=O.II,1,26,6,0,6,0,0,0,0,0,13,0,13,0,6,0,6,0,0,0,6,0,0,0,0,0
[OH-].[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2],1,5,13,0,0,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,8,10,5,0,6,0
CC(=C)C(=O)OCC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)OCC(COC(=O)C(=C)C)O)O,1,23,8,0,0,0,0,0,0,0,5,0,0,2,8,0,5,0,0,0,0,0,0,0,14,0
[OH-].[OH-].[Ca+2],1,5,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,11,11,5,0,0,0
